a,b,c,d,e,f
motor,motor,,,,motor
mott,mott,,,,mott
motz,motz,,,,motz
mould,mould,,,,mould
mount,mount,,,,mount
mountain,,mountain,"['mount', 'ain']",mount ain,mount ain
mouth,mouth,,,,mouth
movabl,movabl,,,,movabl
move,move,,,,move
movement,,movement,"['move', 'ment']",move ment,move ment
mozer,mozer,,,,mozer
mr,mr,,,,mr
ms,ms,,,,ms
mt,mt,,,,mt
mth,mth,,,,mth
mu,mu,,,,mu
mueller,,mueller,['mueller'],mueller,mueller
muf,muf,,,,muf
mull,mull,,,,mull
mullard,,mullard,"['mull', 'ard']",mull ard,mull ard
muller,muller,,,,muller
multi,multi,,,,multi
multianod,,multianod,['multianod'],multianod,multianod
multiapertur,,multiapertur,['multiapertur'],multiapertur,multiapertur
multicathod,,multicathod,['multicathod'],multicathod,multicathod
multicav,,multicav,['multicav'],multicav,multicav
multichannel,,multichannel,"['multi', 'channel']",multi channel,multi channel
multicoil,,multicoil,"['multi', 'coil']",multi coil,multi coil
multicollector,,multicollector,"['multi', 'collector']",multi collector,multi collector
multicompon,,multicompon,['multicompon'],multicompon,multicompon
multiconductor,,multiconductor,"['multi', 'conductor']",multi conductor,multi conductor
multicoupl,,multicoupl,['multicoupl'],multicoupl,multicoupl
multicryst,,multicryst,['multicryst'],multicryst,multicryst
multidimension,,multidimension,"['multi', 'dimension']",multi dimension,multi dimension
multielectrod,,multielectrod,['multielectrod'],multielectrod,multielectrod
multiform,,multiform,"['multi', 'form']",multi form,multi form
multifrequ,,multifrequ,['multifrequ'],multifrequ,multifrequ
multigrid,,multigrid,"['multi', 'grid']",multi grid,multi grid
multigroup,,multigroup,"['multi', 'group']",multi group,multi group
multilay,,multilay,"['multi', 'lay']",multi lay,multi lay
multilevel,,multilevel,"['multi', 'level']",multi level,multi level
multiloop,,multiloop,"['multi', 'loop']",multi loop,multi loop
multimesh,,multimesh,"['multi', 'mesh']",multi mesh,multi mesh
multimod,,multimod,"['multi', 'mod']",multi mod,multi mod
multipact,,multipact,"['multi', 'pact']",multi pact,multi pact
multipactor,,multipactor,['multipactor'],multipactor,multipactor
multipath,,multipath,"['multi', 'path']",multi path,multi path
multipeak,,multipeak,"['multi', 'peak']",multi peak,multi peak
multiphas,,multiphas,['multiphas'],multiphas,multiphas
multipl,,multipl,['multipl'],multipl,multipl
multiplex,,multiplex,"['multiple', 'x']",multiple x,multiple x
multipli,,multipli,['multipli'],multipli,multipli
multipol,,multipol,"['multi', 'pol']",multi pol,multi pol
multiport,,multiport,"['multi', 'port']",multi port,multi port
multipotenti,,multipotenti,"['multipotent', 'i']",multipotent i,multipotent i
multipurpos,,multipurpos,['multipurpos'],multipurpos,multipurpos
multisect,,multisect,"['multi', 'sect']",multi sect,multi sect
multist,,multist,"['multi', 'st']",multi st,multi st
multistag,,multistag,"['multi', 'stag']",multi stag,multi stag
multistream,,multistream,"['multi', 'stream']",multi stream,multi stream
multitap,,multitap,"['multi', 'tap']",multi tap,multi tap
multitermin,,multitermin,['multitermin'],multitermin,multitermin
multitrack,,multitrack,"['multi', 'track']",multi track,multi track
multiveloc,,multiveloc,['multiveloc'],multiveloc,multiveloc
multivibr,,multivibr,['multivibr'],multivibr,multivibr
multiwai,,multiwai,['multiwai'],multiwai,multiwai
multiwaveform,,multiwaveform,"['multi', 'waveform']",multi waveform,multi waveform
mumet,mumet,,,,mumet
mumford,,mumford,"['mum', 'ford']",mum ford,mum ford
munich,munich,,,,munich
munro,munro,,,,munro
munsel,munsel,,,,munsel
murti,murti,,,,murti
musen,musen,,,,musen
music,music,,,,music
musician,,musician,"['music', 'ian']",music ian,music ian
mute,mute,,,,mute
mutual,mutual,,,,mutual
mv,mv,,,,mv
mw,mw,,,,mw
mylar,mylar,,,,mylar
mymam,mymam,,,,mymam
myriabit,,myriabit,['myriabit'],myriabit,myriabit
mz,mz,,,,mz
na,na,,,,na
nachrichtentechnisch,,nachrichtentechnisch,['nachrichtentechnisch'],nachrichtentechnisch,nachrichtentechnisch
naci,naci,,,,naci
nacl,nacl,,,,nacl
naismith,,naismith,['naismith'],naismith,naismith
nakajima,,nakajima,['nakajima'],nakajima,nakajima
nakata,nakata,,,,nakata
naketa,naketa,,,,naketa
name,name,,,,name
nancai,nancai,,,,nancai
nandi,nandi,,,,nandi
nanosecond,,nanosecond,['nanosecond'],nanosecond,nanosecond
naphthalen,,naphthalen,"['naphtha', 'len']",naphtha len,naphtha len
narec,narec,,,,narec
narrow,narrow,,,,narrow
nassenstein,,nassenstein,['nassenstein'],nassenstein,nassenstein
nat,nat,,,,nat
nation,nation,,,,nation
natur,natur,,,,natur
naval,naval,,,,naval
navi,navi,,,,navi
navier,navier,,,,navier
navig,navig,,,,navig
naze,naze,,,,naze
nazional,,nazional,['nazional'],nazional,nazional
nb,nb,,,,nb
nc,nc,,,,nc
nce,nce,,,,nce
nd,nd,,,,nd
nder,nder,,,,nder
nductor,,nductor,['nductor'],nductor,nductor
ne,ne,,,,ne
near,near,,,,near
nearbi,nearbi,,,,nearbi
nearer,nearer,,,,nearer
nearest,,nearest,"['near', 'est']",near est,near est
nearli,nearli,,,,nearli
neat,neat,,,,neat
nebula,nebula,,,,nebula
necess,necess,,,,necess
necessarili,,necessarili,['necessarili'],necessarili,necessarili
necessit,,necessit,['necessit'],necessit,necessit
neck,neck,,,,neck
nedt,nedt,,,,nedt
need,need,,,,need
needl,needl,,,,needl
neel,neel,,,,neel
neg,neg,,,,neg
neglect,,neglect,['neglect'],neglect,neglect
neglig,neglig,,,,neglig
nei,nei,,,,nei
neighbour,,neighbour,['neighbour'],neighbour,neighbour
neighbourhood,,neighbourhood,"['neighbour', 'hood']",neighbour hood,neighbour hood
neoc,neoc,,,,neoc
neon,neon,,,,neon
neper,neper,,,,neper
nera,nera,,,,nera
nernst,nernst,,,,nernst
nerst,nerst,,,,nerst
nertnei,,nertnei,['nertnei'],nertnei,nertnei
nerv,nerv,,,,nerv
net,net,,,,net
netherland,,netherland,"['nether', 'land']",nether land,nether land
nett,nett,,,,nett
netwg,netwg,,,,netwg
netwo,netwo,,,,netwo
network,,network,"['net', 'work']",net work,net work
neu,neu,,,,neu
neuchatel,,neuchatel,['neuchatel'],neuchatel,neuchatel
neuert,neuert,,,,neuert
neufeld,,neufeld,"['neuf', 'eld']",neuf eld,neuf eld
neugebau,,neugebau,['neugebau'],neugebau,neugebau
neumann,,neumann,"['neum', 'ann']",neum ann,neum ann
neuristor,,neuristor,['neuristor'],neuristor,neuristor
neutral,,neutral,['neutral'],neutral,neutral
neutron,,neutron,['neutron'],neutron,neutron
nevada,nevada,,,,nevada
nevanlinna,,nevanlinna,['nevanlinna'],nevanlinna,nevanlinna
nevitron,,nevitron,['nevitron'],nevitron,nevitron
new,new,,,,new
newer,newer,,,,newer
newli,newli,,,,newli
newton,newton,,,,newton
next,next,,,,next
nf,nf,,,,nf
ng,ng,,,,ng
ngc,ngc,,,,ngc
nh,nh,,,,nh
ni,ni,,,,ni
nice,nice,,,,nice
nickel,nickel,,,,nickel
nico,nico,,,,nico
nicolet,,nicolet,"['nicol', 'et', 'nicole', 't']",nicol et nicole t,nicol et nicole t
niemegk,,niemegk,['niemegk'],niemegk,niemegk
nifontoff,,nifontoff,['nifontoff'],nifontoff,nifontoff
nigeria,,nigeria,['nigeria'],nigeria,nigeria
night,night,,,,night
nightglow,,nightglow,"['night', 'glow']",night glow,night glow
nightli,,nightli,"['night', 'li']",night li,night li
nighttim,,nighttim,"['night', 'tim']",night tim,night tim
nikecajun,,nikecajun,"['nike', 'cajun']",nike cajun,nike cajun
nikolski,,nikolski,['nikolski'],nikolski,nikolski
nil,nil,,,,nil
nimbu,nimbu,,,,nimbu
nine,nine,,,,nine
ninth,ninth,,,,ninth
ninti,ninti,,,,ninti
nippon,nippon,,,,nippon
niqu,niqu,,,,niqu
nirrc,nirrc,,,,nirrc
nitrat,nitrat,,,,nitrat
nitric,nitric,,,,nitric
nitrogen,,nitrogen,"['nitro', 'gen']",nitro gen,nitro gen
nitroso,,nitroso,"['nitro', 'so']",nitro so,nitro so
nitrou,nitrou,,,,nitrou
nixdorff,,nixdorff,['nixdorff'],nixdorff,nixdorff
nize,nize,,,,nize
nj,nj,,,,nj
nmr,nmr,,,,nmr
nobl,nobl,,,,nobl
nocturn,,nocturn,['nocturn'],nocturn,nocturn
nodal,nodal,,,,nodal
node,node,,,,node
nodic,nodic,,,,nodic
nois,nois,,,,nois
noiseless,,noiseless,"['noise', 'less']",noise less,noise less
noisi,noisi,,,,noisi
nol,nol,,,,nol
nombr,nombr,,,,nombr
nomenclatur,,nomenclatur,['nomenclatur'],nomenclatur,nomenclatur
nomin,nomin,,,,nomin
nomogram,,nomogram,['nomogram'],nomogram,nomogram
nomograph,,nomograph,['nomograph'],nomograph,nomograph
non,non,,,,non
nonabsorb,,nonabsorb,"['non', 'absorb']",non absorb,non absorb
nonadiabat,,nonadiabat,['nonadiabat'],nonadiabat,nonadiabat
nonadjac,,nonadjac,['nonadjac'],nonadjac,nonadjac
nonblanket,,nonblanket,"['non', 'blanket']",non blanket,non blanket
noncentr,,noncentr,['noncentr'],noncentr,noncentr
noncompens,,noncompens,['noncompens'],noncompens,noncompens
nonconduct,,nonconduct,"['non', 'conduct']",non conduct,non conduct
nonconductor,,nonconductor,"['non', 'conductor']",non conductor,non conductor
nonconserv,,nonconserv,['nonconserv'],nonconserv,nonconserv
noncontinu,,noncontinu,['noncontinu'],noncontinu,noncontinu
noncrit,,noncrit,"['non', 'crit']",non crit,non crit
nondecreas,,nondecreas,['nondecreas'],nondecreas,nondecreas
nondegener,,nondegener,['nondegener'],nondegener,nondegener
nondestruct,,nondestruct,"['non', 'destruct']",non destruct,non destruct
nondevi,,nondevi,"['non', 'devi']",non devi,non devi
nondimension,,nondimension,"['non', 'dimension']",non dimension,non dimension
nondirection,,nondirection,"['non', 'direction']",non direction,non direction
nondispers,,nondispers,['nondispers'],nondispers,nondispers
nondissip,,nondissip,['nondissip'],nondissip,nondissip
nonenerg,,nonenerg,['nonenerg'],nonenerg,nonenerg
nonequilibrium,,nonequilibrium,"['non', 'equilibrium']",non equilibrium,non equilibrium
nonessenti,,nonessenti,['nonessenti'],nonessenti,nonessenti
nonexist,,nonexist,"['non', 'exist']",non exist,non exist
nonferromagnet,,nonferromagnet,"['non', 'ferromagnet']",non ferromagnet,non ferromagnet
nongyrotrop,,nongyrotrop,['nongyrotrop'],nongyrotrop,nongyrotrop
nonhomogen,,nonhomogen,['nonhomogen'],nonhomogen,nonhomogen
nonid,nonid,,,,nonid
noninduct,,noninduct,"['non', 'induct']",non induct,non induct
noninteract,,noninteract,"['non', 'interact']",non interact,non interact
nonirradi,,nonirradi,['nonirradi'],nonirradi,nonirradi
nonisotherm,,nonisotherm,"['non', 'isotherm']",non isotherm,non isotherm
nonisotrop,,nonisotrop,['nonisotrop'],nonisotrop,nonisotrop
nonlaminar,,nonlaminar,"['non', 'laminar']",non laminar,non laminar
nonlinear,,nonlinear,"['non', 'linear']",non linear,non linear
nonlinearli,,nonlinearli,"['nonlinear', 'li']",nonlinear li,nonlinear li
nonloc,nonloc,,,,nonloc
nonmagnet,,nonmagnet,"['non', 'magnet']",non magnet,non magnet
nonmathemat,,nonmathemat,['nonmathemat'],nonmathemat,nonmathemat
nonmet,nonmet,,,,nonmet
nonmetal,,nonmetal,"['non', 'metal']",non metal,non metal
nonmonochromat,,nonmonochromat,"['non', 'monochromat']",non monochromat,non monochromat
nonod,nonod,,,,nonod
nonopt,nonopt,,,,nonopt
nonoscillatori,,nonoscillatori,['nonoscillatori'],nonoscillatori,nonoscillatori
nonperiod,,nonperiod,"['non', 'period']",non period,non period
nonplanar,,nonplanar,"['non', 'planar']",non planar,non planar
nonpolar,,nonpolar,"['non', 'polar']",non polar,non polar
nonquadrat,,nonquadrat,"['non', 'quadrat']",non quadrat,non quadrat
nonradi,,nonradi,['nonradi'],nonradi,nonradi
nonreact,,nonreact,"['non', 'react']",non react,non react
nonrealiz,,nonrealiz,['nonrealiz'],nonrealiz,nonrealiz
nonreciproc,,nonreciproc,['nonreciproc'],nonreciproc,nonreciproc
nonredund,,nonredund,['nonredund'],nonredund,nonredund
nonreflect,,nonreflect,"['non', 'reflect']",non reflect,non reflect
nonregen,,nonregen,['nonregen'],nonregen,nonregen
nonrelativist,,nonrelativist,"['non', 'relativist']",non relativist,non relativist
nonreson,,nonreson,['nonreson'],nonreson,nonreson
nonrevers,,nonrevers,"['non', 'revers']",non revers,non revers
nonrigid,,nonrigid,"['non', 'rigid']",non rigid,non rigid
nonsatur,,nonsatur,['nonsatur'],nonsatur,nonsatur
nonseason,,nonseason,"['non', 'season']",non season,non season
nonselect,,nonselect,"['non', 'select']",non select,non select
nonsinusoid,,nonsinusoid,"['non', 'sinusoid']",non sinusoid,non sinusoid
nonspecialist,,nonspecialist,"['non', 'specialist']",non specialist,non specialist
nonspecular,,nonspecular,"['non', 'specular']",non specular,non specular
nonspher,,nonspher,['nonspher'],nonspher,nonspher
nonstabl,,nonstabl,['nonstabl'],nonstabl,nonstabl
nonstationari,,nonstationari,['nonstationari'],nonstationari,nonstationari
nonstorag,,nonstorag,['nonstorag'],nonstorag,nonstorag
nonsymmetr,,nonsymmetr,['nonsymmetr'],nonsymmetr,nonsymmetr
nonterrestri,,nonterrestri,['nonterrestri'],nonterrestri,nonterrestri
nontherm,,nontherm,"['non', 'therm']",non therm,non therm
nontyp,nontyp,,,,nontyp
nonuniform,,nonuniform,"['non', 'uniform']",non uniform,non uniform
nonuniformli,,nonuniformli,['nonuniformli'],nonuniformli,nonuniformli
nonunivers,,nonunivers,['nonunivers'],nonunivers,nonunivers
nonvanish,,nonvanish,"['non', 'vanish']",non vanish,non vanish
noon,noon,,,,noon
norbert,,norbert,"['nor', 'bert']",nor bert,nor bert
nord,nord,,,,nord
nordheim,,nordheim,['nordheim'],nordheim,nordheim
norm,norm,,,,norm
normal,normal,,,,normal
norrit,norrit,,,,norrit
north,north,,,,north
northern,,northern,"['north', 'ern', 'norther', 'n']",north ern norther n,north ern norther n
northward,,northward,"['north', 'ward']",north ward,north ward
northwest,,northwest,"['north', 'west']",north west,north west
norton,norton,,,,norton
norwai,norwai,,,,norwai
norwegian,,norwegian,['norwegian'],norwegian,norwegian
nose,nose,,,,nose
nospher,,nospher,['nospher'],nospher,nospher
notabl,notabl,,,,notabl
notat,notat,,,,notat
notch,notch,,,,notch
note,note,,,,note
notic,notic,,,,notic
nous,nous,,,,nous
nov,nov,,,,nov
nova,nova,,,,nova
novaya,novaya,,,,novaya
novel,novel,,,,novel
novemb,novemb,,,,novemb
now,now,,,,now
nozzl,nozzl,,,,nozzl
npl,npl,,,,npl
npn,npn,,,,npn
nr,nr,,,,nr
nrise,nrise,,,,nrise
ns,ns,,,,ns
nsfor,nsfor,,,,nsfor
nsw,nsw,,,,nsw
nt,nt,,,,nt
ntc,ntc,,,,ntc
nth,nth,,,,nth
nture,nture,,,,nture
nuciei,nuciei,,,,nuciei
nuclear,,nuclear,"['nu', 'clear']",nu clear,nu clear
nuclei,nuclei,,,,nuclei
nucleon,,nucleon,"['nucleo', 'n']",nucleo n,nucleo n
nucleu,nucleu,,,,nucleu
,,,,,
number,number,,,,number
numer,numer,,,,numer
numero,numero,,,,numero
nutat,nutat,,,,nutat
nuvistor,,nuvistor,['nuvistor'],nuvistor,nuvistor
nw,nw,,,,nw
ny,ny,,,,ny
nylon,nylon,,,,nylon
nyquist,,nyquist,"['ny', 'quist']",ny quist,ny quist
nz,nz,,,,nz
oai,oai,,,,oai
ob,ob,,,,ob
obayashi,,obayashi,['obayashi'],obayashi,obayashi
obei,obei,,,,obei
object,object,,,,object
oblat,oblat,,,,oblat
obliqu,obliqu,,,,obliqu
obrain,obrain,,,,obrain
obrien,obrien,,,,obrien
obscur,obscur,,,,obscur
observ,observ,,,,observ
observa,,observa,['observa'],observa,observa
observatori,,observatori,"['observator', 'i']",observator i,observator i
observi,,observi,['observi'],observi,observi
observt,,observt,['observt'],observt,observt
obstacl,,obstacl,['obstacl'],obstacl,obstacl
obtain,obtain,,,,obtain
obtainin,,obtainin,"['obtain', 'in']",obtain in,obtain in
obtan,obtan,,,,obtan
obviat,obviat,,,,obviat
obviou,obviou,,,,obviou
oc,oc,,,,oc
occas,occas,,,,occas
occasion,,occasion,['occasion'],occasion,occasion
occlud,occlud,,,,occlud
occul,occul,,,,occul
occult,occult,,,,occult
occup,occup,,,,occup
occupi,occupi,,,,occupi
occur,occur,,,,occur
occurr,occurr,,,,occurr
ocean,ocean,,,,ocean
oct,oct,,,,oct
octal,octal,,,,octal
octav,octav,,,,octav
octob,octob,,,,octob
od,od,,,,od
odd,odd,,,,odd
oder,oder,,,,oder
odessa,odessa,,,,odessa
odevelop,,odevelop,"['o', 'develop']",o develop,o develop
oerst,oerst,,,,oerst
oertel,oertel,,,,oertel
offer,offer,,,,offer
offic,offic,,,,offic
offner,offner,,,,offner
offset,offset,,,,offset
ofkrau,ofkrau,,,,ofkrau
ofr,ofr,,,,ofr
og,og,,,,og
oga,oga,,,,oga
ohio,ohio,,,,ohio
ohm,ohm,,,,ohm
ohmic,ohmic,,,,ohmic
oil,oil,,,,oil
okeef,okeef,,,,okeef
oklahoma,,oklahoma,['oklahoma'],oklahoma,oklahoma
olan,olan,,,,olan
olat,olat,,,,olat
old,old,,,,old
olni,olni,,,,olni
omat,omat,,,,omat
omega,omega,,,,omega
omit,omit,,,,omit
omnidirect,,omnidirect,['omnidirect'],omnidirect,omnidirect
on,on,,,,on
onc,onc,,,,onc
onli,onli,,,,onli
onsag,onsag,,,,onsag
onset,onset,,,,onset
onward,onward,,,,onward
onyl,onyl,,,,onyl
oo,oo,,,,oo
oono,oono,,,,oono
oort,oort,,,,oort
opaqu,opaqu,,,,opaqu
opat,opat,,,,opat
open,open,,,,open
oper,oper,,,,oper
opinion,,opinion,"['o', 'pinion', 'op', 'inion']",o pinion op inion,o pinion op inion
opportun,,opportun,['opportun'],opportun,opportun
oppos,oppos,,,,oppos
opposit,,opposit,"['op', 'posit', 'oppo', 'sit', 'oppos', 'it']",op posit oppo sit oppos it,op posit oppo sit oppos it
optic,optic,,,,optic
optim,optim,,,,optim
optimum,,optimum,['optimum'],optimum,optimum
optiqu,optiqu,,,,optiqu
optoelectron,,optoelectron,['optoelectron'],optoelectron,optoelectron
optron,optron,,,,optron
orbit,orbit,,,,orbit
orchard,,orchard,"['or', 'chard', 'orc', 'hard']",or chard orc hard,or chard orc hard
order,order,,,,order
ordin,ordin,,,,ordin
ordinari,,ordinari,"['ordinar', 'i']",ordinar i,ordinar i
ordinarili,,ordinarili,['ordinarili'],ordinarili,ordinarili
ordnanc,,ordnanc,['ordnanc'],ordnanc,ordnanc
oregon,oregon,,,,oregon
organ,organ,,,,organ
organis,,organis,"['organ', 'is']",organ is,organ is
orient,orient,,,,orient
origin,origin,,,,origin
orion,orion,,,,orion
ormer,ormer,,,,ormer
orption,,orption,['orption'],orption,orption
ortho,ortho,,,,ortho
orthodox,,orthodox,['orthodox'],orthodox,orthodox
orthogon,,orthogon,['orthogon'],orthogon,orthogon
orthonol,,orthonol,['orthonol'],orthonol,orthonol
orthonorm,,orthonorm,"['ortho', 'norm']",ortho norm,ortho norm
os,os,,,,os
osborn,osborn,,,,osborn
oscar,oscar,,,,oscar
oscil,oscil,,,,oscil
oscillatori,,oscillatori,"['oscillator', 'i']",oscillator i,oscillator i
oscillogram,,oscillogram,['oscillogram'],oscillogram,oscillogram
oscillograph,,oscillograph,['oscillograph'],oscillograph,oscillograph
oscillographi,,oscillographi,"['oscillograph', 'i']",oscillograph i,oscillograph i
oscilloscop,,oscilloscop,['oscilloscop'],oscilloscop,oscilloscop
oscul,oscul,,,,oscul
oslo,oslo,,,,oslo
osnic,osnic,,,,osnic
oswald,oswald,,,,oswald
ot,ot,,,,ot
othr,othr,,,,othr
ott,ott,,,,ott
ottawa,ottawa,,,,ottawa
otto,otto,,,,otto
ou,ou,,,,ou
ount,ount,,,,ount
oupl,oupl,,,,oupl
outburst,,outburst,"['out', 'burst']",out burst,out burst
outer,outer,,,,outer
outermost,,outermost,"['outer', 'most']",outer most,outer most
outflow,,outflow,"['out', 'flow']",out flow,out flow
outlet,outlet,,,,outlet
outlin,outlin,,,,outlin
output,output,,,,output
outstand,,outstand,"['out', 'stand']",out stand,out stand
outward,,outward,"['out', 'ward']",out ward,out ward
outweigh,,outweigh,"['out', 'weigh']",out weigh,out weigh
ov,ov,,,,ov
oven,oven,,,,oven
overcom,,overcom,"['over', 'com']",over com,over com
overcoupl,,overcoupl,['overcoupl'],overcoupl,overcoupl
overcur,,overcur,"['over', 'cur']",over cur,over cur
overdens,,overdens,"['over', 'dens']",over dens,over dens
overdriven,,overdriven,"['over', 'driven', 'overdrive', 'n']",over driven overdrive n,over driven overdrive n
overestim,,overestim,['overestim'],overestim,overestim
overh,overh,,,,overh
overhaus,,overhaus,['overhaus'],overhaus,overhaus
overhead,,overhead,"['over', 'head']",over head,over head
overlap,,overlap,"['over', 'lap']",over lap,over lap
overli,overli,,,,overli
overload,,overload,"['over', 'load']",over load,over load
overmodul,,overmodul,['overmodul'],overmodul,overmodul
overnight,,overnight,"['over', 'night']",over night,over night
overrid,,overrid,"['over', 'rid']",over rid,over rid
oversea,,oversea,"['over', 'sea', 'overs', 'ea']",over sea overs ea,over sea overs ea
overshoot,,overshoot,"['over', 'shoot', 'overs', 'hoot']",over shoot overs hoot,over shoot overs hoot
overst,overst,,,,overst
overtak,,overtak,['overtak'],overtak,overtak
overton,,overton,"['over', 'ton', 'overt', 'on']",over ton overt on,over ton overt on
overvoltag,,overvoltag,['overvoltag'],overvoltag,overvoltag
ovr,ovr,,,,ovr
ow,ow,,,,ow
owen,owen,,,,owen
ower,ower,,,,ower
owli,owli,,,,owli
oxford,oxford,,,,oxford
oxid,oxid,,,,oxid
oxygen,oxygen,,,,oxygen
oy,oy,,,,oy
oz,oz,,,,oz
ozon,ozon,,,,ozon
ozonspher,,ozonspher,['ozonspher'],ozonspher,ozonspher
pa,pa,,,,pa
pacif,pacif,,,,pacif
pack,pack,,,,pack
packag,packag,,,,packag
packet,packet,,,,packet
pad,pad,,,,pad
paer,paer,,,,paer
paetzold,,paetzold,['paetzold'],paetzold,paetzold
paid,paid,,,,paid
paint,paint,,,,paint
pair,pair,,,,pair
palladium,,palladium,['palladium'],palladium,palladium
palmer,palmer,,,,palmer
palmit,palmit,,,,palmit
pam,pam,,,,pam
panama,panama,,,,panama
pancak,pancak,,,,pancak
panel,panel,,,,panel
panoram,,panoram,['panoram'],panoram,panoram
papa,papa,,,,papa
paper,paper,,,,paper
papian,papian,,,,papian
papouli,,papouli,['papouli'],papouli,papouli
par,par,,,,par
para,para,,,,para
parabol,,parabol,['parabol'],parabol,parabol
parabola,,parabola,"['para', 'bola']",para bola,para bola
paraboloid,,paraboloid,['paraboloid'],paraboloid,paraboloid
paradox,,paradox,['paradox'],paradox,paradox
paraffin,,paraffin,['paraffin'],paraffin,paraffin
parallact,,parallact,['parallact'],parallact,parallact
parallax,,parallax,['parallax'],parallax,parallax
parallel,,parallel,['parallel'],parallel,parallel
parallelepip,,parallelepip,['parallelepip'],parallelepip,parallelepip
parallelogram,,parallelogram,['parallelogram'],parallelogram,parallelogram
paramagnet,,paramagnet,"['para', 'magnet']",para magnet,para magnet
paramaribo,,paramaribo,['paramaribo'],paramaribo,paramaribo
paramegnet,,paramegnet,['paramegnet'],paramegnet,paramegnet
paramet,,paramet,"['para', 'met']",para met,para met
parametr,,parametr,['parametr'],parametr,parametr
parametron,,parametron,['parametron'],parametron,parametron
parasit,,parasit,"['para', 'sit', 'paras', 'it']",para sit paras it,para sit paras it
paraxi,paraxi,,,,paraxi
pare,pare,,,,pare
pari,pari,,,,pari
pariti,pariti,,,,pariti
park,park,,,,park
parker,parker,,,,parker
parnum,parnum,,,,parnum
parsec,parsec,,,,parsec
part,part,,,,part
partial,,partial,"['parti', 'al']",parti al,parti al
particip,,particip,['particip'],particip,particip
particl,,particl,['particl'],particl,particl
particular,,particular,"['p', 'articular']",p articular,p articular
partit,partit,,,,partit
partli,partli,,,,partli
pascal,pascal,,,,pascal
paschen,,paschen,"['pasch', 'en']",pasch en,pasch en
pasma,pasma,,,,pasma
pass,pass,,,,pass
passag,passag,,,,passag
passibl,,passibl,['passibl'],passibl,passibl
passiv,passiv,,,,passiv
past,past,,,,past
patch,patch,,,,patch
patchett,,patchett,['patchett'],patchett,patchett
patchi,patchi,,,,patchi
patent,patent,,,,patent
path,path,,,,path
patrol,patrol,,,,patrol
pattern,,pattern,"['pat', 'tern', 'patter', 'n']",pat tern patter n,pat tern patter n
paul,paul,,,,paul
pauli,pauli,,,,pauli
pawsei,pawsei,,,,pawsei
payern,payern,,,,payern
payload,,payload,"['pay', 'load']",pay load,pay load
payn,payn,,,,payn
pb,pb,,,,pb
pc,pc,,,,pc
pca,pca,,,,pca
pcl,pcl,,,,pcl
pcm,pcm,,,,pcm
pd,pd,,,,pd
pe,pe,,,,pe
peak,peak,,,,peak
pear,pear,,,,pear
pearson,,pearson,"['pe', 'arson', 'pear', 'son', 'pears', 'on']",pe arson pear son pears on,pe arson pear son pears on
peas,peas,,,,peas
pecker,pecker,,,,pecker
peculiar,,peculiar,['peculiar'],peculiar,peculiar
pedersen,,pedersen,['pedersen'],pedersen,pedersen
pedest,pedest,,,,pedest
peerless,,peerless,"['peer', 'less']",peer less,peer less
pegasu,pegasu,,,,pegasu
peierl,peierl,,,,peierl
pekar,pekar,,,,pekar
pellet,pellet,,,,pellet
peltier,,peltier,['peltier'],peltier,peltier
pen,pen,,,,pen
penang,penang,,,,penang
pencil,pencil,,,,pencil
pendent,,pendent,"['pen', 'dent']",pen dent,pen dent
pendulum,,pendulum,['pendulum'],pendulum,pendulum
penetr,penetr,,,,penetr
penndorf,,penndorf,['penndorf'],penndorf,penndorf
pennsylvania,,pennsylvania,['pennsylvania'],pennsylvania,pennsylvania
pentagrid,,pentagrid,['pentagrid'],pentagrid,pentagrid
pentod,pentod,,,,pentod
percent,,percent,"['per', 'cent']",per cent,per cent
percentag,,percentag,['percentag'],percentag,percentag
percept,,percept,['percept'],percept,percept
percha,percha,,,,percha
perfect,,perfect,['perfect'],perfect,perfect
perfectli,,perfectli,"['perfect', 'li']",perfect li,perfect li
perfor,perfor,,,,perfor
perform,,perform,"['per', 'form']",per form,per form
perid,perid,,,,perid
perige,perige,,,,perige
periment,,periment,"['peri', 'ment']",peri ment,peri ment
period,period,,,,period
peripher,,peripher,['peripher'],peripher,peripher
peripheri,,peripheri,['peripheri'],peripheri,peripheri
permalloi,,permalloi,['permalloi'],permalloi,permalloi
perman,perman,,,,perman
permeabl,,permeabl,['permeabl'],permeabl,permeabl
permeat,,permeat,"['per', 'meat', 'perm', 'eat']",per meat perm eat,per meat perm eat
permiss,,permiss,"['per', 'miss']",per miss,per miss
permit,permit,,,,permit
permitt,,permitt,"['per', 'mitt', 'permit', 't']",per mitt permit t,per mitt permit t
perot,perot,,,,perot
perpendicular,,perpendicular,['perpendicular'],perpendicular,perpendicular
perpendicularli,,perpendicularli,"['perpendicular', 'li']",perpendicular li,perpendicular li
perrot,perrot,,,,perrot
perseid,,perseid,"['perse', 'id']",perse id,perse id
perseu,perseu,,,,perseu
persev,persev,,,,persev
persist,,persist,"['per', 'sist']",per sist,per sist
persistatron,,persistatron,['persistatron'],persistatron,persistatron
persistor,,persistor,"['persist', 'or']",persist or,persist or
personnel,,personnel,['personnel'],personnel,personnel
perspect,,perspect,['perspect'],perspect,perspect
perspex,,perspex,['perspex'],perspex,perspex
perth,perth,,,,perth
pertin,pertin,,,,pertin
